"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Type"
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.00,0.15,2
1.51743,12.20,3.25,1.16,73.55,0.62,8.90,0.00,0.24,2
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.00,0.00,2
1.51811,12.96,2.96,1.43,72.92,0.60,8.79,0.14,0.00,2
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2
1.51730,12.35,2.72,1.63,72.87,0.70,9.23,0.00,0.00,2
1.51820,12.62,2.76,0.83,73.81,0.35,9.42,0.00,0.20,2
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.00,0.00,3
1.51646,13.04,3.40,1.26,73.01,0.52,8.58,0.00,0.00,3
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.00,0.00,3
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.00,0.00,3
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.00,0.00,3
1.51796,13.50,3.36,1.63,71.94,0.57,8.81,0.00,0.09,3
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.00,0.00,3
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.00,0.37,3
1.51514,14.01,2.68,3.50,69.89,1.68,5.87,2.20,0.00,5
1.51915,12.73,1.85,1.86,72.69,0.60,10.09,0.00,0.00,5
1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.00,0.00,5
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.00,0.00,5
1.51969,12.64,0.00,1.65,73.75,0.38,11.53,0.00,0.00,5
1.51666,12.86,0.00,1.83,73.88,0.97,10.17,0.00,0.00,5
1.51994,13.27,0.00,1.76,73.03,0.47,11.32,0.00,0.00,5
1.52369,13.44,0.00,1.58,72.22,0.32,12.24,0.00,0.00,5
1.51316,13.02,0.00,3.04,70.48,6.21,6.96,0.00,0.00,5
1.51321,13.00,0.00,3.02,70.70,6.21,6.93,0.00,0.00,5
1.52043,13.38,0.00,1.40,72.25,0.33,12.50,0.00,0.00,5
1.52058,12.85,1.61,2.17,72.18,0.76,9.70,0.24,0.51,5
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.00,0.28,5
1.51905,14.00,2.39,1.56,72.37,0.00,9.57,0.00,0.00,6
1.51937,13.79,2.41,1.19,72.76,0.00,9.77,0.00,0.00,6
1.51829,14.46,2.24,1.62,72.38,0.00,9.26,0.00,0.00,6
1.51852,14.09,2.19,1.66,72.67,0.00,9.32,0.00,0.00,6
1.51299,14.40,1.74,1.54,74.55,0.00,7.59,0.00,0.00,6
1.51888,14.99,0.78,1.74,72.50,0.00,9.95,0.00,0.00,6
1.51916,14.15,0.00,2.09,72.74,0.00,10.88,0.00,0.00,6
1.51969,14.56,0.00,0.56,73.48,0.00,11.22,0.00,0.00,6
1.51115,17.38,0.00,0.34,75.41,0.00,6.65,0.00,0.00,6
1.51131,13.69,3.20,1.81,72.81,1.76,5.43,1.19,0.00,7
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.00,7
1.52315,13.44,3.34,1.23,72.38,0.60,8.83,0.00,0.00,7
1.52247,14.86,2.20,2.06,70.26,0.76,9.76,0.00,0.00,7
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.00,7
